RR15;DR15;LIBELLE15;dpx_recAs1age2_rec1rpop1975;dpx_recAs1age2_rec2rpop1975;dpx_recAs2age2_rec1rpop1975;dpx_recAs2age2_rec2rpop1975;dpx_recBs1age2_rec1rpop1975;dpx_recBs1age2_rec2rpop1975;dpx_recBs2age2_rec1rpop1975;dpx_recBs2age2_rec2rpop1975;dpx_recCs1age2_rec1rpop1975;dpx_recCs1age2_rec2rpop1975;dpx_recCs2age2_rec1rpop1975;dpx_recCs2age2_rec2rpop1975;dpx_recDs1age2_rec1rpop1975;dpx_recDs1age2_rec2rpop1975;dpx_recDs2age2_rec1rpop1975;dpx_recDs2age2_rec2rpop1975
82;01;Ain; 10 970   ; 80 740   ; 10 600   ; 94 745   ; 6 995   ; 18 340   ; 4 635   ; 9 775   ; 1 675   ; 7 635   ; 2 265   ; 5 985   ; 585   ; 5 325   ; 1 065   ; 4 385   
22;02;Aisne; 20 190   ; 110 080   ; 20 775   ; 134 965   ; 8 815   ; 19 560   ; 4 960   ; 9 645   ; 2 015   ; 8 770   ; 2 430   ; 6 395   ; 835   ; 6 100   ; 1 270   ; 5 015   
83;03;Allier; 9 695   ; 85 580   ; 10 780   ; 109 225   ; 6 270   ; 16 275   ; 3 725   ; 8 080   ; 1 445   ; 7 895   ; 1 485   ; 6 440   ; 565   ; 5 015   ; 875   ; 4 475   
93;04;Alpes-de-Haute-Provence; 2 395   ; 26 275   ; 2 355   ; 29 965   ; 1 630   ; 4 345   ; 955   ; 2 580   ; 425   ; 2 520   ; 535   ; 2 260   ; 180   ; 2 345   ; 345   ; 1 835   
93;05;Hautes-Alpes; 2 290   ; 22 255   ; 2 225   ; 24 985   ; 1 530   ; 3 985   ; 985   ; 2 205   ; 490   ; 2 120   ; 565   ; 2 105   ; 180   ; 1 715   ; 345   ; 1 855   
93;06;Alpes-Maritimes; 18 370   ; 180 570   ; 15 430   ; 242 075   ; 7 765   ; 26 150   ; 7 105   ; 21 545   ; 3 070   ; 24 825   ; 4 205   ; 24 310   ; 1 510   ; 25 025   ; 2 945   ; 18 835   
82;07;ArdŠche; 6 630   ; 60 470   ; 6 510   ; 72 550   ; 3 585   ; 8 620   ; 2 435   ; 5 360   ; 705   ; 4 075   ; 1 005   ; 3 355   ; 345   ; 3 000   ; 605   ; 2 830   
21;08;Ardennes; 11 695   ; 64 100   ; 11 895   ; 76 170   ; 5 315   ; 11 890   ; 2 890   ; 5 320   ; 1 205   ; 4 995   ; 1 340   ; 3 840   ; 485   ; 3 010   ; 875   ; 2 580   
73;09;AriŠge; 3 180   ; 36 140   ; 2 775   ; 41 575   ; 1 890   ; 4 185   ; 1 280   ; 2 595   ; 480   ; 2 480   ; 630   ; 2 040   ; 205   ; 1 935   ; 330   ; 1 485   
21;10;Aube; 9 225   ; 59 620   ; 10 110   ; 76 400   ; 5 220   ; 13 170   ; 3 155   ; 5 900   ; 910   ; 4 695   ; 975   ; 3 315   ; 315   ; 3 410   ; 700   ; 2 705   
91;11;Aude; 6 350   ; 67 235   ; 5 925   ; 83 490   ; 3 205   ; 8 265   ; 2 215   ; 5 060   ; 940   ; 4 655   ; 1 220   ; 4 235   ; 310   ; 3 965   ; 505   ; 3 090   
73;12;Aveyron; 5 765   ; 67 255   ; 5 795   ; 82 360   ; 4 875   ; 10 135   ; 2 470   ; 5 145   ; 1 130   ; 4 310   ; 1 480   ; 4 080   ; 470   ; 3 210   ; 615   ; 2 980   
93;13;Bouches-du-Rh“ne; 44 950   ; 337 860   ; 40 590   ; 413 635   ; 18 925   ; 58 415   ; 15 400   ; 43 430   ; 6 190   ; 39 145   ; 8 095   ; 35 340   ; 3 300   ; 41 600   ; 5 960   ; 31 925   
25;14;Calvados; 19 870   ; 102 985   ; 20 715   ; 134 945   ; 9 875   ; 22 535   ; 6 540   ; 13 015   ; 2 060   ; 9 265   ; 2 950   ; 8 020   ; 1 115   ; 8 630   ; 1 915   ; 7 190   
83;15;Cantal; 4 975   ; 40 975   ; 4 840   ; 46 485   ; 2 665   ; 4 650   ; 1 260   ; 2 065   ; 595   ; 2 390   ; 865   ; 2 815   ; 195   ; 1 730   ; 380   ; 1 640   
