RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;01;Ain;4814;56286;3260;74862;6204;65214;3647;45972;5426;32890;4740;37134;2745;52476;3570;60529
22;02;Aisne;5965;65488;4300;90742;5680;58478;4177;41011;3870;25163;3900;27805;2072;28136;2707;36251
83;03;Allier;2658;39343;1929;58223;3018;41319;1941;30077;2649;17709;2346;20999;1317;20954;1506;26632
93;04;Alpes-de-Haute-Provence;1319;16605;886;22045;1554;17481;1013;13130;1216;9367;1101;11171;523;13124;665;16378
93;05;Hautes-Alpes;950;13244;637;17257;1270;15071;753;9951;1122;8772;1012;9942;505;11626;638;15666
93;06;Alpes-Maritimes;8843;111078;5781;146867;7501;85394;5009;74095;8146;59915;8166;79421;5113;105962;6471;126822
82;07;ArdŠche;2257;35437;1427;46412;2647;35230;1604;25295;2124;17601;2061;20435;1249;23231;1569;29822
21;08;Ardennes;2886;32948;1891;48376;2901;32483;1857;21902;2222;13361;1997;14761;1159;15035;1418;18406
73;09;AriŠge;1242;17422;823;22722;1410;17062;784;11732;982;9027;924;10659;456;10917;596;14084
21;10;Aube;2639;35285;2080;50441;2960;33780;1870;24122;2440;14241;2259;16155;1407;18302;1677;22473
91;11;Aude;3369;41535;2519;54658;3088;36608;1999;28025;2386;21679;2457;25569;1218;26055;1427;32805
73;12;Aveyron;1431;31207;1027;42534;1952;32405;1223;20752;2072;16613;1591;19416;1292;19664;1415;26013
93;13;Bouches-du-Rh“ne;17902;200049;11712;257182;15203;151188;10247;133275;15733;99905;15336;124132;10450;189756;13150;224198
25;14;Calvados;5406;68971;3591;97851;6305;69176;4540;54089;5879;32745;5660;38043;3395;51670;4226;62966
83;15;Cantal;922;19117;472;25656;1201;17791;639;11550;1004;8945;863;10221;522;8052;674;11658
54;16;Charente;2762;37233;1898;54824;3080;43340;1871;31501;2903;19335;2561;22473;1332;23154;1622;28901
54;17;Charente-Maritime;5065;66745;3545;96263;5706;73348;3785;56216;4738;34506;4347;41840;2342;44736;2680;54732
24;18;Cher;2800;33621;1536;49839;2669;38830;1977;28678;2343;16056;2014;18255;1284;20192;1458;23442
74;19;CorrŠze;1729;25281;986;37368;2105;29274;1225;21116;2117;14335;1448;16669;1094;16512;1159;20643
94;2A;Corse-du-Sud;1325;19230;946;21767;1266;11720;843;9517;1180;10999;1237;13193;499;10670;697;13908
94;2B;Haute-Corse;1714;23910;1122;25981;1457;13029;839;10030;1390;11461;1298;13851;630;11975;713;15375
26;21;C“te-d'Or;3980;46898;2470;68255;4355;54100;2862;38929;5154;26808;4726;30570;3425;46558;4637;55220
53;22;C“tes-d'Armor;3748;56965;2316;86805;4613;66111;3227;50226;4530;36404;3773;37502;2406;44942;3036;54239
74;23;Creuse;763;14828;501;21430;1053;15576;620;10450;895;7115;705;8131;371;6925;515;8983
72;24;Dordogne;3420;51159;2242;69181;3544;48117;2440;37166;2760;22949;2514;27214;1129;27037;1520;34136
43;25;Doubs;4324;49403;2982;70958;5119;54931;3220;39609;5251;26993;4739;27957;3353;43316;3926;50680
82;26;Dr“me;4079;51132;2597;67234;4547;47656;3064;36836;4041;25245;3406;30123;2308;40143;2893;49408
23;27;Eure;5986;63479;3934;87031;5849;64700;3871;47345;4567;29712;4678;33648;2210;37807;3009;45526
24;28;Eure-et-Loir;3846;45456;2634;62899;4349;48340;2788;34460;3429;20880;3177;24428;1652;29262;2253;35005
53;29;FinistŠre;5055;68902;3139;113561;6538;98594;4139;74342;8111;58833;6396;59019;5085;79247;5545;92696
91;30;Gard;6417;79448;4348;104568;5500;67353;3888;52981;5436;39629;5164;47430;3079;57690;3561;72717
73;31;Haute-Garonne;8757;90003;6000;123660;8762;96642;6195;74002;11798;68015;12301;79809;11130;166147;12626;179650
73;32;Gers;1159;22449;781;28835;1344;20221;889;14557;1305;11543;1184;12950;725;14189;709;18418
72;33;Gironde;11530;125436;7731;174274;11795;138302;8266;117382;12748;79843;12972;93376;8849;145125;11194;168531
91;34;H‚rault;9302;103774;6262;133812;8170;84568;5328;70491;9050;59055;9563;73078;5730;105817;7809;126094
53;35;Ille-et-Vilaine;6683;81450;4310;114636;7962;93925;5181;69797;10301;54345;9793;58296;7401;95060;8948;110126
24;36;Indre;2011;28341;1336;40832;2066;29419;1416;20684;1618;11052;1342;12841;830;12240;875;15372
24;37;Indre-et-Loire;4588;52767;2824;78011;5202;62221;3569;45214;5699;31439;5701;35985;3320;50217;4460;61131
82;38;IsŠre;9892;105242;6151;140155;10171;107816;6686;81111;11136;60834;10287;69867;8235;125432;9377;141275
43;39;Jura;2064;27494;1453;37514;2518;30278;1570;22470;2209;13690;1720;15353;1041;17604;1402;21761
72;40;Landes;2775;38692;1881;54227;3126;47333;2242;36985;3134;23950;2545;27128;1626;29577;1828;35291
24;41;Loir-et-Cher;2739;37608;1955;53681;3088;40425;1960;28042;2236;15743;2094;18909;1321;20404;1597;25515
82;42;Loire;6070;76552;3977;108751;6674;81314;4502;61876;6444;38323;5914;42918;4109;52497;4901;66010
83;43;Haute-Loire;1614;24038;889;32699;2000;26738;1107;17937;1908;13135;1366;14431;1014;14639;1236;20150
52;44;Loire-Atlantique;9323;90445;5411;143699;10613;135080;6864;108521;12229;71993;11327;78657;9215;128698;10164;143844
24;45;Loiret;6186;64163;4113;90553;5832;68435;4056;51106;5307;32349;5276;37129;3585;52760;4272;62136
73;46;Lot;1144;19212;763;26367;1273;19320;816;13335;1198;11059;901;13369;665;13253;602;16720
72;47;Lot-et-Garonne;2858;40704;1901;54301;2979;36084;1902;27943;2408;17915;2198;20140;1216;21028;1490;27448
91;48;LozŠre;425;9156;257;10852;522;7998;364;5224;623;4889;477;5148;297;5779;469;7640
52;49;Maine-et-Loire;6393;76400;3906;109324;7576;80544;4793;59466;7951;40157;7298;42618;4705;58935;5984;70915
25;50;Manche;3699;56990;2312;83226;5173;60196;3492;42023;3911;24935;3247;27317;2224;30257;2630;36726
21;51;Marne;5328;57715;3469;81395;5322;56783;3612;41151;5554;27842;5365;31115;3461;41562;4274;50675
